ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00068100;Patrick;Göbel;P. Göbel;Patrick Göbel;Borussia Dortmund;DEFENDER;999000000;0;0.0
pl-k00068578;Julian;Brandt;Brandt;Julian Brandt;Borussia Dortmund;MIDFIELDER;5000000;144;3.66
pl-k00068667;Karol;Mets;Mets;Karol Mets;FC St. Pauli;DEFENDER;1600000;40;3.5
pl-k00069254;Julian;Derstroff;Derstroff;Julian Derstroff;1. FSV Mainz 05;MIDFIELDER;999000000;0;0.0
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3700000;151;3.18
pl-k00069475;Marcel;Engelhardt;Engelhardt;Marcel Engelhardt;Holstein Kiel;GOALKEEPER;500000;0;0.0
pl-k00070381;Cristian;Gamboa;Gamboa;Cristian Gamboa;VfL Bochum;DEFENDER;1200000;21;4.75
pl-k00070409;Michy;Batshuayi;Batshuayi;Michy Batshuayi;Eintracht Frankfurt;FORWARD;2200000;21;4.2
pl-k00070587;Dominik;Draband;Draband;Dominik Draband;VfB Stuttgart;GOALKEEPER;999000000;0;0.0
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayer 04 Leverkusen;DEFENDER;5500000;244;2.83
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;8500000;345;2.71
pl-k00070709;Michel;Lieder;Lieder;Michel Lieder;Bor. Mönchengladbach;DEFENDER;999000000;0;0.0
pl-k00070806;Maximilian;Philipp;Philipp;Maximilian Philipp;SC Freiburg;FORWARD;1400000;4;0.0
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;800000;0;0.0
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;3500000;189;3.03
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;3800000;115;3.3
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;3400000;44;3.73
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;DEFENDER;5000000;262;2.72
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;2000000;118;3.36
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;2000000;139;3.31
